species,country,region,company,harvest_year,aroma,cupper_points,sweetness,clean_cup,uniformity,balance,body,acidity,aftertaste,flavor,total_cup_points
Arabica,Colombia,santander,ecom cca sa,2013,7.67,7.83,10,10,10,8.5,7.58,7.75,7.58,7.67,84.58
Arabica,Colombia,huila,racafe & cia s.c.a,2013,7.75,7.92,10,10,10,8,7.58,7.75,7.83,7.75,84.58
Arabica,Kenya,,taylor winch (coffee) ltd,2013,7.75,7.75,10,10,10,7.75,7.75,8.08,7.75,7.75,84.58
Arabica,Colombia,huila,exportadora de cafe condor s.a,2012,7.67,7.75,10,10,10,7.92,7.58,8,7.83,7.83,84.58
Arabica,Costa Rica,tres rios,lusso coffee lab,2012,7.75,7.75,10,10,10,7.67,7.83,8,7.75,7.83,84.58
Arabica,Colombia,huila,exportadora de cafe condor s.a,2012,7.42,8.08,10,10,10,7.83,8.08,7.75,7.75,7.67,84.58
Arabica,Brazil,vale da grama,nucoffee,2011,8,7.75,10,10,10,7.75,7.58,7.75,7.75,8,84.58
Arabica,Brazil,mountains of minas gerais,nucoffee,2011,8.5,7.5,10,10,10,7.83,7.5,7.75,7.5,8,84.58
Arabica,Costa Rica,valle central,beneficios volcafé costa rica,2017,7.92,8,10,10,10,7.58,7.67,7.75,7.92,7.67,84.5
Arabica,Uganda,eastern uganda,kawacom uganda ltd,2016,7.92,7.83,10,10,10,7.75,7.83,7.75,7.67,7.75,84.5
Arabica,China,yunnan,yunnan coffee exchange,2015,7.75,7.92,10,10,10,7.67,7.75,7.83,7.67,7.92,84.5
Arabica,Costa Rica,tarrazu,coopetarrazú.r.l,2014,7.92,7.92,10,10,10,7.58,7.58,7.83,7.83,7.83,84.5
Arabica,Colombia,cauca,federacion nacional de cafeteros,2016,8.08,7.75,10,10,10,7.67,7.67,7.83,7.83,7.67,84.5
Arabica,China,yunnan,"puer jiangcheng fuwang coffee biotechnology co., ltd",2013,7.67,7.92,10,10,10,7.58,7.75,7.83,7.75,8,84.5
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2013,8.17,7.5,10,10,10,7.83,7.67,7.83,7.67,7.83,84.5
Arabica,Kenya,nyeri,dream together co. ltd,2012,7.92,7.67,10,10,10,7.75,7.67,8,7.67,7.83,84.5
Arabica,Mexico,hustusco,,2012,8,7.92,10,10,10,7.67,7.5,8.08,7.42,7.92,84.5
Arabica,Mexico,jaltenango,ecomtrading,2012,7.92,7.67,10,10,10,7.83,7.75,7.75,7.75,7.83,84.5
Arabica,Guatemala,"el tumbador, san marcos","transcafe, s.a",2012,7.67,7.83,10,10,10,7.83,7.5,8,7.67,8,84.5
Arabica,Costa Rica,tarrazu,beneficios volcafé costa rica,2016,7.58,7.92,10,10,10,7.58,7.67,8,7.83,7.83,84.42
Arabica,Indonesia,sumatra brastagi,pt. olam indonesia,2017,7.67,8,10,10,10,7.83,7.83,7.58,7.83,7.67,84.42
Arabica,Colombia,pitalito,carcafe ltda,2016,7.92,7.67,10,10,10,7.67,7.92,7.67,7.75,7.83,84.42
Arabica,Colombia,huila,racafe & cia s.c.a,2014,7.92,7.75,10,10,10,7.75,7.67,7.92,7.67,7.75,84.42
Arabica,Taiwan,"mountain ali, taiwan",tropica galliard,2012,7.83,7.75,10,10,10,7.75,7.5,8,7.75,7.83,84.42
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2012,7.92,7.83,10,10,10,7.92,7.5,7.83,7.5,7.92,84.42
Arabica,Mexico,tapachula,finca hamburgo,2012,7.75,7.83,10,10,10,7.67,7.83,7.67,7.75,7.92,84.42
Arabica,Ethiopia,limu,,2010,7.5,7.75,10,10,10,7.75,7.92,7.92,7.83,7.75,84.42
Arabica,Kenya,nyeri,c dorman ltd,2017,7.33,8.17,10,10,10,7.92,7.75,7.75,7.83,7.58,84.33
Arabica,Honduras,comayagua,cigrah s.a de c.v,2016,7.92,7.58,10,10,10,7.75,7.67,7.67,7.75,8,84.33
Arabica,Colombia,huila,skn caribecafe ltda,2016,7.58,7.5,10,10,10,8.5,7.67,7.83,7.5,7.75,84.33
Arabica,Honduras,central region,cigrah s.a de c.v,2016,7.58,7.83,10,10,10,7.75,7.92,7.75,7.58,7.92,84.33
Arabica,Colombia,la plata,racafe & cia s.c.a,2016,7.67,7.83,10,10,10,7.83,7.75,7.83,7.75,7.67,84.33
Arabica,Colombia,huila,carcafe ltda,2015,7.75,7.33,10,10,10,7.83,8.08,7.67,8,7.67,84.33
Arabica,Colombia,huila,exportadora de cafe condor s.a,2013,7.75,8.17,10,10,10,8.08,7.58,7.83,7.33,7.58,84.33
Arabica,Mexico,tuxtla gutierrez,,2012,8,7.83,10,10,10,7.67,7.5,7.83,7.75,7.75,84.33
Arabica,Brazil,vale da grama,,2011,8.17,7.75,10,10,10,7.67,7.5,7.75,7.5,8,84.33
Arabica,Brazil,south of minas,,2011,8,7.92,10,10,10,7.75,7.67,7.5,7.5,8,84.33
Arabica,Guatemala,nuevo oriente,,2010,7.5,7.92,10,10,10,7.92,7.92,7.67,7.75,7.67,84.33
Arabica,Taiwan,國姓鄉 guoshing township,taiwan coffee laboratory,2016,7.92,7.67,10,10,10,7.83,7.67,7.67,7.75,7.75,84.25
Arabica,Thailand,chiang rai thailand,matsuzawa coffee,2015,7.83,8,10,10,10,7.67,7.83,7.42,7.75,7.75,84.25
Arabica,Colombia,nariño,carcafe ltda,2016,7.83,7.83,10,10,10,8,7.67,7.58,7.75,7.58,84.25
Arabica,Guatemala,antigua,"siembras vision, s.a.",2016,7.75,7.75,10,10,10,7.75,7.75,7.92,7.58,7.75,84.25
Arabica,Guatemala,huehuetenango,exportcafe,2015,7.75,7.75,10,10,10,7.67,7.58,8.08,7.5,7.92,84.25
Arabica,China,yunnan,yunnan coffee exchange,2015,7.83,7.75,10,10,10,7.75,7.75,7.75,7.58,7.83,84.25
Arabica,Colombia,huila,racafe & cia s.c.a,2015,7.67,7.83,10,10,10,7.92,7.67,7.75,7.75,7.67,84.25
Arabica,Colombia,huila,racafe & cia s.c.a,2015,7.83,7.75,10,10,10,7.75,7.92,7.58,7.75,7.67,84.25
Arabica,Colombia,cauca,federacion nacional de cafeteros,2016,7.83,7.83,10,10,10,7.75,7.67,7.58,7.83,7.75,84.25
Arabica,Colombia,huila,carcafe ltda,2015,7.42,7.83,10,10,10,7.83,7.92,7.75,7.83,7.67,84.25
Arabica,Tanzania,shizingo village,tembo coffee company ltd,2014,7.83,7.83,10,10,10,7.67,7.67,7.83,7.75,7.67,84.25
Arabica,Tanzania,mbeya,taylor winch (t) ltd,2014,7.83,7.75,10,10,10,7.75,7.67,7.75,7.75,7.75,84.25
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2014,7.83,7.83,10,10,10,7.75,7.58,7.92,7.5,7.83,84.25
Arabica,Colombia,cauca,exportadora de cafe condor s.a,2013,7.58,7.83,10,10,10,7.83,7.92,7.83,7.75,7.5,84.25
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2012,7.33,7.83,9.33,10,10,8.08,7.92,7.92,7.92,7.92,84.25
Arabica,Mexico,san pedro cotzilnam,carajillo café sa de cv,2012,7.83,7.75,10,10,10,7.75,7.5,7.83,7.67,7.92,84.25
Arabica,Mexico,veracruz,,2012,7.83,7.75,10,10,10,7.58,7.83,7.67,7.75,7.83,84.25
Arabica,Mexico,"la concordia, chiapas",ecomtrading,2012,7.83,7.83,10,10,10,7.75,7.5,7.75,7.67,7.92,84.25
Arabica,Uganda,kasese,bukonzo joint cfs,2012,8.17,7.67,10,10,10,7.58,7.83,7.67,7.58,7.75,84.25
Arabica,Guatemala,san marcos,"unex guatemala, s.a.",2017,7.75,7.75,10,10,10,7.75,7.67,7.83,7.58,7.83,84.17
Arabica,Colombia,huila,racafe & cia s.c.a,2016,7.83,7.75,10,10,10,7.83,7.75,7.67,7.58,7.75,84.17
Arabica,Costa Rica,tarrazu,exclusive coffee - costa rica,2016,7.92,8,10,10,10,7.67,7.5,7.67,7.67,7.75,84.17
Arabica,Guatemala,huehuetenango,exportcafe,2016,7.75,7.58,10,10,10,7.83,7.67,8,7.58,7.75,84.17
Arabica,Guatemala,solola,cafcom,2016,7.75,7.67,10,10,10,7.67,7.67,7.92,7.58,7.92,84.17
Arabica,Guatemala,norte,"unex guatemala, s.a.",2016,7.58,7.83,10,10,10,7.67,7.83,7.83,7.58,7.83,84.17
Arabica,Colombia,huila,racafe & cia s.c.a,2015,8,7.67,10,10,10,7.83,8,7.67,7.5,7.5,84.17
Arabica,Nicaragua,jinotega,cooperativa el gorrion r.l,2015,7.67,7.83,10,10,10,7.83,7.67,7.5,7.83,7.83,84.17
Arabica,Brazil,cerrado,cafebras comercio de cafés do brasil sa,2015,7.67,7.75,10,10,10,7.75,7.83,7.67,7.75,7.75,84.17
Arabica,Costa Rica,tarrazu,"ceca,s.a.",2014,7.67,7.83,10,10,10,8,7.5,7.75,7.67,7.75,84.17
Arabica,Ethiopia,snnprg; kafa; telo woreda; shada kebele,asefa dukamo coffee plantetion,2014,7.5,7.75,10,10,10,7.83,7.75,7.83,7.58,7.92,84.17
Arabica,Tanzania,arusha,selian coffee estate,2014,7.92,7.67,10,10,10,7.58,7.75,7.75,7.75,7.75,84.17
Arabica,Colombia,huila,olam international ltd,2015,7.67,7.5,10,10,10,8.58,7.83,7.42,7.67,7.5,84.17
Arabica,Guatemala,,volcafe specialty coffee,2013,7.67,7.83,10,10,10,7.75,7.75,7.75,7.67,7.75,84.17
Arabica,Kenya,kenya,taylor winch (coffee) ltd,2013,7.58,7.75,10,10,10,7.83,7.75,7.75,7.75,7.75,84.17
Arabica,Brazil,"minas gerais, br",café do paraíso,2012,7.58,7.67,10,10,10,8,7.67,7.67,7.75,7.83,84.17
